EEG,sec
-0.004431072377603516,34.416
-0.0044267478614023435,34.42
-0.004643658204210937,34.424
-0.0047803119438203125,34.428
-0.004650664941421875,34.432
-0.004433582493078125,34.436
-0.004431487570052735,34.44
-0.004636255235330078,34.444
-0.004782062655775391,34.448
-0.004634604189009766,34.452
-0.004418191688201172,34.456
-0.004441671939404297,34.46
-0.004649304140876953,34.464
-0.0047866769315781255,34.468
-0.00461989354131836,34.472
-0.004406543935626953,34.476
-0.004436623996546875,34.48
-0.004647681292638672,34.484
-0.00476068948194336,34.488
-0.004616950731136719,34.492
-0.004403716348642579,34.496
-0.00443910931715625,34.5
-0.004676588702285156,34.504
-0.004772689710542969,34.508
-0.0046114346028828124,34.512
-0.004403869493398438,34.516
-0.004458150801308594,34.52
-0.004678911640835937,34.524
-0.004764640130470703,34.528
-0.004595619854427735,34.532
-0.004401354516185547,34.536
-0.0044506471944453126,34.54
-0.0046943476598789065,34.544
-0.004766779781488282,34.548
-0.00459759420634375,34.552
-0.004398008181726563,34.556
-0.004467156685300781,34.56
-0.0047004938694140625,34.564
-0.004759970917025391,34.568
-0.004576750475810547,34.572
-0.004394427025308594,34.576
-0.004478170467203125,34.58
-0.004698685302773438,34.584
-0.0047575356723203125,34.588
-0.004567866135275391,34.592
-0.004408282979410157,34.596
-0.0044893422555996095,34.6
-0.004713425120894532,34.604
-0.004755768916628906,34.608
-0.004565743014167969,34.612
-0.0043937035986523435,34.616
-0.004483188753457031,34.62
-0.0047162376364902345,34.624
-0.004745588922841797,34.628
-0.0045454049044160155,34.632
-0.004387827701765625,34.636
-0.004468846625527344,34.64
-0.004714811688652344,34.644
-0.004740300810113281,34.648
-0.004541931192414063,34.652
-0.004385971976263672,34.656
-0.004510925456525391,34.66
-0.004731454877310547,34.664
-0.004745085246755859,34.668
-0.0045440061823125,34.672
-0.004395754279859375,34.676
-0.004518363429921875,34.68
-0.004720797946998047,34.684
-0.004750576580144532,34.688
-0.004528178793337891,34.692
-0.004399107906925781,34.696
-0.004540492117882813,34.7
-0.004743794941416015,34.704
-0.0047288027990781255,34.708
-0.004524417752603516,34.712
-0.004399433157216797,34.716
-0.004534497594582031,34.72
-0.004746570507800782,34.724
-0.0047350161006015625,34.728
-0.004522446803904297,34.732
-0.004402793104542969,34.736
-0.0045398717600781254,34.74
-0.004753154759955078,34.744
-0.00472460614659375,34.748
-0.004500244217521485,34.752
-0.004395951180259766,34.756
-0.004544145228027344,34.76
-0.004752404107564453,34.764
-0.004710782279964844,34.768
-0.004484668180416016,34.772
-0.0044045797933613285,34.776
-0.004562022325861328,34.78
-0.004771702291498047,34.784
-0.004716811321607422,34.788
-0.004489456020275391,34.792
-0.004402410485740234,34.796
-0.0045710607835,34.8
-0.00478370154775,34.804
-0.004699024652105469,34.808
-0.004495727662658203,34.812
-0.004421014413447266,34.816
-0.004587881911779297,34.82
-0.0047831405031523435,34.824
-0.004703769708667969,34.828
-0.004499887365931641,34.832
-0.004433583465425782,34.836
-0.004607736764746094,34.84
-0.004782691764708985,34.844
-0.004702799305707031,34.848
-0.0044770435162695315,34.852
-0.004441841127896484,34.856
-0.004613845538896485,34.86
-0.004790605216109375,34.864
-0.004697746501111329,34.868
-0.004459519380634766,34.872
-0.0044257764860937505,34.876
-0.0046087256423125,34.88
-0.004777359896335938,34.884
-0.004681990093515625,34.888
-0.004463043168541016,34.892
-0.004444084820113281,34.896
-0.004616943924703125,34.9
-0.0047845596445566406,34.904
-0.004653529477617188,34.908
-0.004452428049177734,34.912
-0.004436984737527344,34.916
-0.004628111337535157,34.92
-0.004775935407019531,34.924
-0.004653345703910156,34.928
-0.004436421748234375,34.932
-0.004440049577339844,34.936
-0.00463136967453125,34.94
-0.004775231427316407,34.944
-0.004655367700861329,34.948
-0.004438316853816407,34.952
-0.004454786964591797,34.956
-0.004656410543722656,34.96
-0.004771882175814453,34.964
-0.004636428313212891,34.968
-0.004434117770462891,34.972
-0.004451066276285156,34.976
-0.004668479809005859,34.98
-0.004770523319964844,34.984
-0.004637404064085937,34.988
-0.0044476927160917975,34.992
-0.004458357425185547,34.996
-0.004654303466351563,35.0
-0.004774335895125,35.004
-0.004627658223527344,35.008
-0.004421425230332032,35.012
-0.0044557636878125,35.016
-0.004661806587041016,35.02
-0.004764931834767578,35.024
-0.004613567447466797,35.028
-0.004417659327859375,35.032
-0.004465690871208985,35.036
-0.00465695165519336,35.04
-0.004756382468,35.044
-0.00459919663528125,35.048
-0.004410180515861328,35.052
-0.004468449421509766,35.056
-0.004681786872855469,35.06
-0.00475358988553125,35.064
-0.0046067600415253904,35.068
-0.004408448278511719,35.072
-0.0044820156160097656,35.076
-0.004693564920015625,35.08
-0.004749092777621094,35.084
-0.004592233167541016,35.088
-0.004405135976220703,35.092
-0.0044752874564023435,35.096
-0.004688686165650391,35.1
-0.004731752901867187,35.104
-0.0045805630509707035,35.108
-0.004396212255605469,35.112
-0.004509065355458985,35.116
-0.0047094423848945315,35.12
-0.004748211344470703,35.124
-0.0045698716023164065,35.128
-0.004400106021794922,35.132
-0.004501886998886719,35.136
-0.004716219161884766,35.14
-0.004741243014992188,35.144
-0.004567045960027344,35.148
-0.004400935434345703,35.152
-0.004495976583658203,35.156
-0.004711939373675781,35.16
-0.004720103204597656,35.164
-0.004543487921011719,35.168
-0.004413538518492187,35.172
-0.004518571026146484,35.176
-0.004721572908080078,35.18
-0.004723256041873047,35.184
-0.004544059661433594,35.188
-0.004396516114248047,35.192
-0.004513813329064453,35.196
-0.00473280498203125,35.2
-0.004732461743308594,35.204
-0.0045442551033125006,35.208
-0.004396342064017579,35.212
-0.00453833010286914,35.216
-0.004746947778691406,35.22
-0.00471962772659375,35.224
-0.00452763184778125,35.228
-0.0044030250094589845,35.232
-0.004536597865519532,35.236
-0.004741691753435547,35.24
-0.00471992332028125,35.244
-0.004524946223554688,35.248
-0.004408922784167969,35.252
-0.004565140158621094,35.256
-0.004739402847052735,35.26
-0.004705253511191406,35.264
-0.004514535297199219,35.268
-0.0044085727390117185,35.272
-0.004558665781751953,35.276
-0.004755359072091797,35.28
-0.004703671987728516,35.284
-0.00449994473444336,35.288
-0.00440844293059961,35.292
-0.004565631680361329,35.296
-0.004768439092763672,35.3
-0.00470869076015625,35.304
-0.004494155376498047,35.308
-0.004405579366751953,35.312
-0.004568457808824219,35.316
-0.0047539827139843754,35.32
-0.0046929956104628905,35.324
-0.004508406103748047,35.328
-0.004425485754144531,35.332
-0.004585550708273438,35.336
-0.004747700375777344,35.34
-0.004678002981951172,35.344
-0.004481957275150391,35.348
-0.004425207176541016,35.352
-0.004600811704738281,35.356
-0.00475139383834961,35.36
-0.004675313954507813,35.364
-0.004472373330476563,35.368
-0.004430966391708984,35.372
-0.004598380349423828,35.376
-0.004759184287771484,35.38
-0.004652740417494141,35.384
-0.004458236854076172,35.388
-0.004420293903833985,35.392
-0.004597486275753906,35.396
-0.004755742663242188,35.4
-0.0046546515668125,35.404
-0.004454706259736328,35.408
-0.004419806271484375,35.412
-0.004599996391228516,35.416
-0.004748628967789063,35.42
-0.004648086761611328,35.424
-0.004439644594541016,35.428
-0.0044331784826269535,35.432
-0.004618188529703125,35.436
-0.004755531177626953,35.44
-0.004650473875107422,35.444
-0.004440309680337891,35.448
-0.004441663188275391,35.452
-0.004639538367191406,35.456
-0.004755710575769532,35.46
-0.0046426245986523436,35.464
-0.004438994093958985,35.468
-0.004434988021615235,35.472
-0.004634146213263672,35.476
-0.004755324067576172,35.48
-0.004624589494324219,35.484
-0.004428715406884766,35.488
-0.0044315891803828125,35.492
-0.004647738174976563,35.496
-0.004754383807392578,35.5
-0.00459419244806836,35.504
-0.004422777279748047,35.508
-0.004445978953347657,35.512
-0.004644080689267578,35.516
-0.004748643066830078,35.52
-0.004598739631882813,35.524
