sec,EEG
68.23,2.15454
68.235,-0.866699
68.24,-1.52588
68.245,1.42212
68.25,-0.231934
68.255,-0.720215
68.26,0.921631
68.265,6.04858
68.27,14.6423
68.275,18.573
68.28,23.9685
68.285,27.8076
68.29,26.6724
68.295,23.8525
68.3,18.988
68.305,16.3513
68.31,17.6514
68.315,17.4805
68.32,17.9749
68.325,18.0054
68.33,16.8457
68.335,13.2996
68.34,9.80835
68.345,6.09741
68.35,4.30908
68.355,4.88281
68.36,5.88989
68.365,3.58276
68.37,-0.994873
68.375,-0.952148
68.38,-0.43335
68.385,-4.77295
68.39,-8.34961
68.395,-8.61816
68.4,-8.25195
68.405,-5.40161
68.41,-4.88281
68.415,-4.50439
68.42,-4.74854
68.425,-4.28467
68.43,-7.1228
68.435,-12.0422
68.44,-11.6638
68.445,-10.1685
68.45,-8.19092
68.455,-5.62134
68.46,-5.48706
68.465,-5.95703
68.47,-6.9397
68.475,-7.34253
68.48,-5.32837
68.485,-7.15942
68.49,-7.40967
68.495,-6.95801
68.5,-3.53394
68.505,-0.506592
68.51,-0.280762
68.515,-0.195313
68.52,-1.57471
68.525,-2.74658
68.53,-2.0813
68.535,-2.12402
68.54,-2.61841
68.545,-1.02539
68.55,4.22363
68.555,3.17993
68.56,-4.88281
68.565,-8.72192
68.57,-7.08008
68.575,-2.34985
68.58,3.07617
68.585,5.5481
68.59,-0.469971
68.595,-5.98755
68.6,-6.97632
68.605,-7.03735
68.61,-4.12598
68.615,0.90332
68.62,1.92871
68.625,0.231934
68.63,-4.43726
68.635,-8.45337
68.64,-9.84497
68.645,-6.09741
68.65,-2.03247
68.655,0.811768
68.66,0.793457
68.665,-5.04761
68.67,-8.6853
68.675,-7.55005
68.68,-1.78223
68.685,3.10669
68.69,4.41284
68.695,3.86353
68.7,1.78833
68.705,0.726318
68.71,2.48413
68.715,1.2146
68.72,-1.5625
68.725,-1.33667
68.73,-0.0427246
68.735,-1.70288
68.74,-2.74658
68.745,-4.74243
68.75,-5.86548
68.755,-4.91943
68.76,-1.80054
68.765,-1.02539
68.77,-1.67847
68.775,-2.09351
68.78,-3.55835
68.785,-3.61938
68.79,-0.0793457
68.795,2.39868
68.8,1.9165
68.805,1.53198
68.81,0.714111
68.815,-5.91431
68.82,-8.86841
68.825,-5.92041
68.83,-3.92456
68.835,-2.0874
68.84,-1.79443
68.845,-4.04663
68.85,-6.29272
68.855,-6.29883
68.86,-8.8562
68.865,-10.6995
68.87,-9.94263
68.875,-5.10254
68.88,-3.22266
68.885,-6.20117
68.89,-7.72095
68.895,-8.09326
68.9,-7.2937
68.905,-8.00171
68.91,-10.675
68.915,-11.676
68.92,-9.85107
68.925,-7.42798
68.93,-7.4707
68.935,-9.30786
68.94,-7.01294
68.945,-3.17993
68.95,-3.06396
68.955,-5.29785
68.96,-8.55103
68.965,-10.9009
68.97,-10.614
68.975,-9.04541
68.98,-6.86035
68.985,-6.18286
68.99,-6.68335
68.995,-10.0281
69,-10.2966
69.005,-10.1807
69.01,-9.13696
69.015,-6.46362
69.02,-3.33862
69.025,-5.13916
69.03,-5.80444
69.035,-7.69043
69.04,-5.92651
69.045,-1.47095
69.05,0.12207
69.055,-3.50952
69.06,-9.68628
69.065,-12.2742
69.07,-9.97925
69.075,-7.23877
69.08,-3.60718
69.085,-2.69775
69.09,-1.77612
69.095,-3.09448
69.1,-6.81763
69.105,-10.9436
69.11,-12.1704
69.115,-8.42896
69.12,-5.53589
69.125,-4.52881
69.13,-4.71191
69.135,-4.58374
69.14,-5.42603
69.145,-7.59888
69.15,-9.35669
69.155,-7.73315
69.16,-7.26929
69.165,-6.37207
69.17,-8.17261
69.175,-11.4929
69.18,-12.2375
69.185,-11.8652
69.19,-12.8296
69.195,-14.0808
69.2,-10.6995
69.205,-6.39038
69.21,-4.23584
69.215,-5.30396
