sec,EEG,alpha,beta,delta,theta 
4.485,-17.8772,0.667353,0.145878,-18.8714,1.00023
4.49,-17.6331,0.682801,0.0818446,-18.5905,0.934958
4.495,-16.8762,0.622363,-0.0676535,-18.3076,0.843062
4.5,-16.7297,0.491491,-0.264704,-18.0224,0.727165
4.505,-17.5049,0.303828,-0.408783,-17.7346,0.59084
4.51,-17.804,0.0797529,-0.389757,-17.4439,0.438502
4.515,-17.3157,-0.155625,-0.164838,-17.1504,0.275006
4.52,-16.6687,-0.375313,0.196063,-16.8537,0.105446
4.525,-16.4246,-0.553888,0.53318,-16.5538,-0.0647585
4.53,-16.0889,-0.670735,0.679618,-16.2506,-0.230098
4.535,-15.8325,-0.71225,0.555411,-15.9442,-0.385392
4.54,-16.5222,-0.673558,0.214264,-15.6347,-0.525876
4.545,-17.0288,-0.559468,-0.187011,-15.3221,-0.647165
4.55,-16.3086,-0.383931,-0.47706,-15.0066,-0.745512
4.555,-15.0513,-0.168086,-0.55836,-14.6885,-0.81815
4.56,-14.856,0.0622437,-0.442052,-14.3681,-0.863382
4.565,-14.9292,0.279283,-0.21534,-14.0456,-0.880381
4.57,-14.1113,0.456902,0.0238572,-13.7214,-0.86923
4.575,-12.6831,0.574207,0.216833,-13.3961,-0.831089
4.58,-11.8042,0.618036,0.349014,-13.0699,-0.768192
4.585,-11.5784,0.584394,0.419167,-12.7434,-0.683447
4.59,-11.6089,0.479032,0.411231,-12.4172,-0.58044
4.595,-11.4258,0.316799,0.29882,-12.0918,-0.463474
4.6,-11.145,0.119716,0.0805868,-11.7678,-0.3373
4.605,-11.1633,-0.0861061,-0.18676,-11.4458,-0.20674
